year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
2021,010033000088,10033000088,-1,99,99,34.0,1,0100330
2021,010033001479,10033001479,-1,99,99,2.0,1,0100330
2021,010036000095,10036000095,-1,99,99,36.0,1,0100360
2021,010036000096,10036000096,-1,99,99,17.0,1,0100360
2021,010036000098,10036000098,-1,99,99,34.0,1,0100360
2021,010036001480,10036001480,-1,99,99,36.0,1,0100360
2021,010039000103,10039000103,-1,99,99,36.0,1,0100390
2021,010039000106,10039000106,-1,99,99,38.0,1,0100390
2021,010039000107,10039000107,-1,99,99,34.0,1,0100390
2021,010039000112,10039000112,-1,99,99,45.0,1,0100390
2021,010039000113,10039000113,-1,99,99,20.0,1,0100390
2021,010039000119,10039000119,-1,99,99,33.0,1,0100390
2021,010039000127,10039000127,-1,99,99,47.0,1,0100390
2021,010039000136,10039000136,-1,99,99,41.0,1,0100390
2021,010039000139,10039000139,-1,99,99,22.0,1,0100390
2021,010039000142,10039000142,-1,99,99,19.0,1,0100390
2021,010039000156,10039000156,-1,99,99,41.0,1,0100390
2021,010039000161,10039000161,-1,99,99,18.0,1,0100390
2021,010039000174,10039000174,-1,99,99,18.0,1,0100390
2021,010039000179,10039000179,-1,99,99,39.0,1,0100390
2021,010039000187,10039000187,-1,99,99,37.0,1,0100390
2021,010039000190,10039000190,-1,99,99,19.0,1,0100390
2021,010039000201,10039000201,-1,99,99,30.0,1,0100390
2021,010039001421,10039001421,-1,99,99,43.0,1,0100390
2021,010039001446,10039001446,-1,99,99,26.0,1,0100390
2021,010039001484,10039001484,-1,99,99,61.0,1,0100390
2021,010039001762,10039001762,-1,99,99,49.0,1,0100390
2021,010039001764,10039001764,-1,99,99,0.0,1,0100390
2021,010039001878,10039001878,-1,99,99,22.0,1,0100390
2021,010039002185,10039002185,-1,99,99,69.0,1,0100390
2021,010039002187,10039002187,-1,99,99,74.0,1,0100390
2021,010039002206,10039002206,-1,99,99,45.0,1,0100390
2021,010039002354,10039002354,-1,99,99,37.0,1,0100390
2021,010039002489,10039002489,-1,99,99,20.0,1,0100390
2021,010042000203,10042000203,-1,99,99,46.0,1,0100420
2021,010042000205,10042000205,-1,99,99,7.0,1,0100420
2021,010042000207,10042000207,-1,99,99,25.0,1,0100420
2021,010042000211,10042000211,-1,99,99,8.0,1,0100420
2021,010042000676,10042000676,-1,99,99,0.0,1,0100420
2021,010042001427,10042001427,-1,99,99,24.0,1,0100420
2021,010042001476,10042001476,-1,99,99,25.0,1,0100420
2021,010042001481,10042001481,-1,99,99,22.0,1,0100420
2021,010045000214,10045000214,-1,99,99,39.0,1,0100450
2021,010048000222,10048000222,-1,99,99,51.0,1,0100480
2021,010051000229,10051000229,-1,99,99,28.0,1,0100510
2021,010051000231,10051000231,-1,99,99,87.0,1,0100510
2021,010051002144,10051002144,-1,99,99,18.0,1,0100510
2021,010054000242,10054000242,-1,99,99,42.0,1,0100540
2021,010054000246,10054000246,-1,99,99,29.0,1,0100540
2021,010054000249,10054000249,-1,99,99,37.0,1,0100540
2021,010054001428,10054001428,-1,99,99,39.0,1,0100540
2021,010054001429,10054001429,-1,99,99,20.0,1,0100540
2021,010054001430,10054001430,-1,99,99,41.0,1,0100540
2021,010054001747,10054001747,-1,99,99,86.0,1,0100540
2021,010060000256,10060000256,-1,99,99,21.0,1,0100600
2021,010060000257,10060000257,-1,99,99,20.0,1,0100600
2021,010060000260,10060000260,-1,99,99,69.0,1,0100600
2021,010060000268,10060000268,-1,99,99,37.0,1,0100600
2021,010063000274,10063000274,-1,99,99,20.0,1,0100630
2021,010063000275,10063000275,-1,99,99,59.0,1,0100630
2021,010063000279,10063000279,-1,99,99,18.0,1,0100630
2021,010063000282,10063000282,-1,99,99,36.0,1,0100630
2021,010063000283,10063000283,-1,99,99,18.0,1,0100630
2021,010066000261,10066000261,-1,99,99,18.0,1,0100660
2021,010066000265,10066000265,-1,99,99,25.0,1,0100660
2021,010066000270,10066000270,-1,99,99,18.0,1,0100660
2021,010066000286,10066000286,-1,99,99,171.0,1,0100660
2021,010066000288,10066000288,-1,99,99,15.0,1,0100660
2021,010066001657,10066001657,-1,99,99,80.0,1,0100660
2021,010069000182,10069000182,-1,99,99,25.0,1,0100690
2021,010069001561,10069001561,-1,99,99,21.0,1,0100690
2021,010072000302,10072000302,-1,99,99,35.0,1,0100720
2021,010072000305,10072000305,-1,99,99,31.0,1,0100720
2021,010075000307,10075000307,-1,99,99,5.0,1,0100750
2021,010075000312,10075000312,-1,99,99,6.0,1,0100750
2021,010078000317,10078000317,-1,99,99,37.0,1,0100780
2021,010078000319,10078000319,-1,99,99,34.0,1,0100780
2021,010078000320,10078000320,-1,99,99,18.0,1,0100780
2021,010078001726,10078001726,-1,99,99,21.0,1,0100780
2021,010081000323,10081000323,-1,99,99,19.0,1,0100810
2021,010081000327,10081000327,-1,99,99,38.0,1,0100810
2021,010081001748,10081001748,-1,99,99,39.0,1,0100810
2021,010084000331,10084000331,-1,99,99,17.0,1,0100840
2021,010084000336,10084000336,-1,99,99,20.0,1,0100840
2021,010084000338,10084000338,-1,99,99,60.0,1,0100840
2021,010084000341,10084000341,-1,99,99,17.0,1,0100840
2021,010084001658,10084001658,-1,99,99,44.0,1,0100840
2021,010087000344,10087000344,-1,99,99,18.0,1,0100870
2021,010087000345,10087000345,-1,99,99,44.0,1,0100870
2021,010087000347,10087000347,-1,99,99,5.0,1,0100870
2021,010087000350,10087000350,-1,99,99,13.0,1,0100870
2021,010090002074,10090002074,-1,99,99,2.0,1,0100900
2021,010093000280,10093000280,-1,99,99,55.0,1,0100930
2021,010093000359,10093000359,-1,99,99,17.0,1,0100930
2021,010093000361,10093000361,-1,99,99,22.0,1,0100930
2021,010093000364,10093000364,-1,99,99,23.0,1,0100930
2021,010093002167,10093002167,-1,99,99,42.0,1,0100930
2021,010096000365,10096000365,-1,99,99,13.0,1,0100960
2021,010096000367,10096000367,-1,99,99,34.0,1,0100960
2021,010096000368,10096000368,-1,99,99,38.0,1,0100960
2021,010099000326,10099000326,-1,99,99,30.0,1,0100990
2021,010102000373,10102000373,-1,99,99,13.0,1,0101020
2021,010102000375,10102000375,-1,99,99,34.0,1,0101020
2021,010102000386,10102000386,-1,99,99,36.0,1,0101020
2021,010102000396,10102000396,-1,99,99,15.0,1,0101020
2021,010102000414,10102000414,-1,99,99,11.0,1,0101020
2021,010102000440,10102000440,-1,99,99,1.0,1,0101020
2021,010102000446,10102000446,-1,99,99,21.0,1,0101020
2021,010102000458,10102000458,-1,99,99,2.0,1,0101020
2021,010102001444,10102001444,-1,99,99,20.0,1,0101020
2021,010102001497,10102001497,-1,99,99,70.0,1,0101020
2021,010102001676,10102001676,-1,99,99,38.0,1,0101020
2021,010105000281,10105000281,-1,99,99,18.0,1,0101050
2021,010105000388,10105000388,-1,99,99,20.0,1,0101050
2021,010105000391,10105000391,-1,99,99,19.0,1,0101050
2021,010105000392,10105000392,-1,99,99,18.0,1,0101050
2021,010108001767,10108001767,-1,99,99,35.0,1,0101080
2021,010111000395,10111000395,-1,99,99,14.0,1,0101110
2021,010111000401,10111000401,-1,99,99,10.0,1,0101110
